id,erp_discipline_code,discipline_name,active,created_at,updated_at
d56d4527-d073-4a14-a8d1-375fb004aeae,F4540272347D4E438AD2B72806D6835E,Structural,t,2026-03-03 17:39:22.482884-06,2026-03-03 17:39:22.482884-06
98be0821-8c12-48c2-b23b-5a4abde2e9d7,A8121DE7ABD048E8A48FD1AD3E71F6A4,Plumbing,t,2026-03-03 17:39:22.482884-06,2026-03-03 17:39:22.482884-06
c551874d-66a6-46ff-842a-126f10930b74,471E69861A564AECB06CD5399C60EF23,Electrical,t,2026-03-03 17:39:22.482884-06,2026-03-03 17:39:22.482884-06
17684d3f-0b85-49ae-878e-1fd9c1be694e,76170FFB7C074599ACDFC0C3C4F45020,Mechanical,t,2026-03-03 17:39:22.482884-06,2026-03-03 17:39:22.482884-06
